gene,logfoldchange,pval_adj,score
ENSG00000275743,21.098808,1.0,0.05678616
ENSG00000271208,21.054268,1.0,0.05678616
ENSG00000233303,21.019285,1.0,0.05678616
ENSG00000275894,20.807116,1.0,0.05678616
ENSG00000273520,20.320597,1.0,0.02839308
ENSG00000176798,20.274939,1.0,0.02839308
ENSG00000286598,20.264673,1.0,0.02839308
ENSG00000234519,20.210089,1.0,0.02839308
ENSG00000211782,20.20073,1.0,0.02839308
ENSG00000211795,20.20073,1.0,0.02839308
ENSG00000211818,20.175823,1.0,0.02839308
ENSG00000149043,20.16762,1.0,0.02839308
ENSG00000254578,20.150503,1.0,0.02839308
ENSG00000211891,20.106344,1.0,0.02839308
ENSG00000279243,20.076849,1.0,0.02839308
ENSG00000248417,19.939339,1.0,0.02839308
ENSG00000251687,19.919569,1.0,0.02839308
ENSG00000211766,19.902573,1.0,0.02839308
ENSG00000155833,19.870768,1.0,0.02839308
ENSG00000237571,19.853981,1.0,0.02839308
ENSG00000270118,19.73381,1.0,0.02839308
ENSG00000238034,19.718302,1.0,0.02839308
ENSG00000237002,19.71827,1.0,0.02839308
ENSG00000231892,19.702929,1.0,0.02839308
ENSG00000233332,19.39875,1.0,0.02839308
ENSG00000276557,4.076178,1.0,0.052451074
ENSG00000230483,4.052143,1.0,0.052451074
ENSG00000264066,4.0396047,1.0,0.052451074
ENSG00000273111,3.9330144,1.0,0.05244839
ENSG00000281809,3.884031,1.0,0.13328448
ENSG00000272727,3.754863,1.0,0.05244839
ENSG00000259283,3.7425363,1.0,0.05244839
ENSG00000231216,3.7225745,1.0,0.05244839
ENSG00000287120,3.6154895,1.0,0.05244839
ENSG00000278890,3.6003206,1.0,0.05244839
ENSG00000248408,3.55119,1.0,0.05244839
ENSG00000205108,3.5272727,1.0,0.024056649
ENSG00000159527,3.4540532,1.0,0.0524457
ENSG00000286440,3.3753705,1.0,0.0524457
ENSG00000259656,3.3322227,1.0,0.024056649
ENSG00000260176,3.2867785,1.0,0.024056649
ENSG00000206262,3.2099519,1.0,0.048115987
ENSG00000228596,3.1073573,1.0,0.04811061
ENSG00000231510,3.0942864,1.0,0.024056649
ENSG00000285711,3.0742903,1.0,0.048115987
ENSG00000254111,3.046178,1.0,0.024056649
ENSG00000287349,3.045811,1.0,0.024056649
ENSG00000229297,3.0438247,1.0,0.024056649
ENSG00000267505,2.9064589,1.0,0.024056649
ENSG00000244125,2.8907285,1.0,0.024056649
ENSG00000171855,2.8737643,1.0,0.024056649
ENSG00000286498,2.8689446,1.0,0.024056649
ENSG00000227751,2.852704,1.0,0.024056649
ENSG00000177508,2.8277907,1.0,0.024056649
ENSG00000261382,2.8157763,1.0,0.024056649
ENSG00000130700,2.8112268,1.0,0.024056649
ENSG00000235461,2.805516,1.0,0.024056649
ENSG00000188505,2.8001878,1.0,0.04811061
ENSG00000224301,2.7963653,1.0,0.024056649
ENSG00000287930,2.7876854,1.0,0.024056649
ENSG00000134240,2.7824738,1.0,0.024056649
ENSG00000274331,2.7740912,1.0,0.024056649
ENSG00000273342,2.7517438,1.0,0.024056649
ENSG00000211767,2.735623,1.0,0.024056649
ENSG00000232132,2.6738179,1.0,0.024053961
ENSG00000211765,2.6474168,1.0,0.024053961
ENSG00000186572,2.6367674,1.0,0.024053961
ENSG00000137707,2.627265,1.0,0.07216188
ENSG00000213931,2.6238623,1.0,0.024053961
ENSG00000256083,2.622999,1.0,0.024053961
ENSG00000225626,2.6179123,1.0,0.048107922
ENSG00000259396,2.6006649,1.0,0.043780897
ENSG00000109471,2.5721989,1.0,0.024053961
ENSG00000271849,2.5248542,1.0,0.06783889
ENSG00000233975,2.4910178,1.0,0.024053961
ENSG00000249861,2.4625118,1.0,0.04811061
ENSG00000264023,2.453322,1.0,0.024053961
ENSG00000115297,2.4518416,1.0,0.043780897
ENSG00000229393,2.4468935,1.0,0.024053961
ENSG00000239991,2.4359224,1.0,0.024053961
ENSG00000224675,2.4279416,1.0,0.139986
ENSG00000268296,2.3563442,1.0,0.024053961
ENSG00000259828,2.3426597,1.0,0.024053961
ENSG00000253259,2.3403723,1.0,0.06782814
ENSG00000225870,2.3388586,1.0,0.019720217
ENSG00000198074,2.3356311,1.0,0.024053961
ENSG00000285811,2.3289096,1.0,0.04377821
ENSG00000274624,2.3125784,1.0,0.04377821
ENSG00000236641,2.2935212,1.0,0.04377821
ENSG00000179348,2.2806509,1.0,0.06782545
ENSG00000248767,2.262719,1.0,0.019720217
ENSG00000170683,2.246027,1.0,0.024053961
ENSG00000223701,2.2409122,1.0,0.024053961
ENSG00000236837,2.2067204,1.0,0.024053961
ENSG00000225235,2.1986203,1.0,0.06782814
ENSG00000226455,2.191718,1.0,0.019720217
ENSG00000272139,2.1833699,1.0,0.043772835
ENSG00000253682,2.150418,1.0,0.043770146
ENSG00000211875,2.1443737,1.0,0.043772835
ENSG00000214414,2.080321,1.0,0.019720217
ENSG00000287059,2.0748696,1.0,0.019720217
ENSG00000258869,2.0676486,1.0,0.06349977
ENSG00000227217,2.063618,1.0,0.06349977
ENSG00000277322,2.062527,1.0,0.043770146
ENSG00000287428,2.059064,1.0,0.019720217
ENSG00000260137,2.058845,1.0,0.019720217
ENSG00000267746,2.0525975,1.0,0.024053961
ENSG00000258842,2.045641,1.0,0.043770146
ENSG00000273264,2.0355077,1.0,0.024053961
ENSG00000259198,2.025434,1.0,0.043770146
ENSG00000229544,2.0180967,1.0,0.039440434
ENSG00000260286,2.012311,1.0,0.06349708
ENSG00000144891,2.0115461,1.0,0.039440434
ENSG00000166391,2.0085142,1.0,0.019720217
ENSG00000255359,1.9978514,1.0,0.14672782
ENSG00000249717,1.9882184,1.0,0.039440434
ENSG00000226854,1.9852678,1.0,0.043770146
ENSG00000130701,1.9502398,1.0,0.019720217
ENSG00000251276,1.9239738,1.0,0.019720217
ENSG00000225102,1.9211016,1.0,0.039440434
ENSG00000224157,1.9133748,1.0,0.019720217
ENSG00000271564,1.8925209,1.0,0.019720217
ENSG00000204347,1.8577415,1.0,0.0986199
ENSG00000263639,1.8471223,1.0,0.01971753
ENSG00000276223,1.8348609,1.0,0.019720217
ENSG00000233392,1.8218668,1.0,0.11834011
ENSG00000253403,1.8188452,1.0,0.01971753
ENSG00000242550,1.7962816,1.0,0.01971753
ENSG00000156885,1.794152,1.0,0.039437745
ENSG00000243772,1.7860279,1.0,0.0985984
ENSG00000242136,1.7791271,1.0,0.019720217
ENSG00000278177,1.7788734,1.0,0.01971753
ENSG00000206104,1.6944968,1.0,0.01971753
ENSG00000254639,1.6630738,1.0,0.01971753
ENSG00000135312,1.6621785,1.0,0.035099972
ENSG00000265678,1.648468,1.0,0.01971753
ENSG00000249818,1.6348822,1.0,0.01971753
