gene,logfoldchange,pval_adj,score
ENSG00000287886,6.716718,1.0,0.09139778
ENSG00000282906,6.229132,1.0,0.09139778
ENSG00000257787,6.123029,1.0,0.09139006
ENSG00000171402,5.8829317,1.0,0.09139006
ENSG00000146678,5.8604445,1.0,0.09139006
ENSG00000238232,5.754424,1.0,0.09007334
ENSG00000287174,5.735226,1.0,0.09007334
ENSG00000232959,5.5880566,1.0,0.09007334
ENSG00000233754,5.523946,1.0,0.09139006
ENSG00000211749,5.4442015,1.0,0.09139006
ENSG00000248203,5.367297,1.0,0.09007334
ENSG00000268157,5.2463045,1.0,0.09007334
ENSG00000242136,5.130897,1.0,0.09006562
ENSG00000239739,4.9065733,1.0,0.09006562
ENSG00000267311,4.896972,1.0,0.090057895
ENSG00000232849,4.849054,1.0,0.090057895
ENSG00000183674,4.67757,1.0,0.17750552
ENSG00000159251,4.403727,1.0,0.087424465
ENSG00000196341,4.3933735,1.0,0.08874118
ENSG00000248912,4.302714,1.0,0.08872574
ENSG00000170486,4.1145773,1.0,0.08610003
ENSG00000257155,4.055736,1.0,0.0874013
ENSG00000257989,3.9964702,1.0,0.08609231
ENSG00000136931,3.9907944,1.0,0.08477559
ENSG00000265107,3.9303923,1.0,0.08609231
ENSG00000273552,3.8587625,1.0,0.16958207
ENSG00000227292,3.7562447,1.0,0.087393574
ENSG00000286737,3.732052,1.0,0.08607686
ENSG00000275898,3.680299,1.0,0.16823061
ENSG00000286378,3.5415213,1.0,0.08473698
ENSG00000135480,3.5019825,1.0,0.08606142
ENSG00000267642,3.497198,1.0,0.17209966
ENSG00000228275,3.4292758,1.0,0.0847447
ENSG00000143185,3.32246,1.0,0.082118995
ENSG00000204539,3.3049164,1.0,0.0847447
ENSG00000117215,3.2986202,1.0,0.08211127
ENSG00000249290,3.2658114,1.0,0.08606142
ENSG00000273919,3.2656665,1.0,0.0847447
ENSG00000224610,3.263159,1.0,0.08341254
ENSG00000286425,3.2477865,1.0,0.084729254
ENSG00000229771,3.2328937,1.0,0.090057895
ENSG00000173250,3.223478,1.0,0.08341254
ENSG00000226433,3.218482,1.0,0.090057895
ENSG00000249717,3.1398392,1.0,0.08606142
ENSG00000236109,3.0941205,1.0,0.08340482
ENSG00000258869,3.0915825,1.0,0.08340482
ENSG00000259097,3.0856686,1.0,0.16158912
ENSG00000224935,3.0796525,1.0,0.08340482
ENSG00000179348,3.0547106,1.0,0.084729254
ENSG00000111057,2.9026828,1.0,0.082064934
ENSG00000225528,2.8849976,1.0,0.16542728
ENSG00000255179,2.8785288,1.0,0.08872574
ENSG00000235118,2.8488324,1.0,0.0833971
ENSG00000286273,2.8470223,1.0,0.07944695
ENSG00000249114,2.8211508,1.0,0.0807405
ENSG00000228596,2.7253006,1.0,0.08872574
ENSG00000172410,2.6805758,1.0,0.08074822
ENSG00000230937,2.6735847,1.0,0.0768058
ENSG00000287835,2.6014476,1.0,0.074164644
ENSG00000273113,2.5681272,1.0,0.07809934
ENSG00000255516,2.5633585,1.0,0.07809934
ENSG00000163421,2.4314518,1.0,0.14958808
