symbol,gene,logfoldchange,pval_adj,score
KCNK5,ENSG00000164626,22.160683,1.0,0.13842271
LINC00929,ENSG00000259150,21.321985,1.0,0.074155025
PATE2,ENSG00000196844,21.298954,1.0,0.074155025
,ENSG00000286442,21.15069,1.0,0.06921136
,ENSG00000228586,21.006693,1.0,0.059324022
,ENSG00000255187,20.980818,1.0,0.059324022
GRTP1-AS1,ENSG00000225083,20.840084,1.0,0.049436685
,ENSG00000286295,20.777695,1.0,0.049436685
SMIM32,ENSG00000271824,20.770859,1.0,0.049436685
ERLN,ENSG00000259120,20.763176,1.0,0.049436685
SLC6A2,ENSG00000103546,20.681118,1.0,0.049436685
,ENSG00000228404,20.641554,1.0,0.044493016
,ENSG00000264404,20.621122,1.0,0.044493016
LOC105372058,ENSG00000263765,20.580946,1.0,0.044493016
KCNK15,ENSG00000124249,20.57025,1.0,0.044493016
,ENSG00000253660,20.55286,1.0,0.044493016
,ENSG00000287147,20.50879,1.0,0.039549347
,ENSG00000228604,20.504654,1.0,0.044493016
RGS9BP,ENSG00000186326,20.499334,1.0,0.044493016
TRH,ENSG00000170893,20.469137,1.0,0.039549347
,ENSG00000285732,20.45319,1.0,0.039549347
FABP4,ENSG00000170323,20.451206,1.0,0.03460568
GPR42,ENSG00000126251,20.318201,1.0,0.039549347
LINC00575,ENSG00000231782,20.283577,1.0,0.03460568
LINC02154,ENSG00000235385,20.280672,1.0,0.03460568
,ENSG00000248528,20.270752,1.0,0.03460568
TBC1D21,ENSG00000167139,20.267654,1.0,0.03460568
CXCL9,ENSG00000138755,20.262138,1.0,0.03460568
TTTY4B,ENSG00000235412,20.224009,1.0,0.03460568
,ENSG00000287365,20.217285,1.0,0.03460568
,ENSG00000233271,20.213846,1.0,0.03460568
,ENSG00000274090,20.208698,1.0,0.039549347
,ENSG00000286981,20.177061,1.0,0.03460568
,ENSG00000268309,20.172955,1.0,0.03460568
TCF15,ENSG00000125878,20.165672,1.0,0.03460568
RNF183,ENSG00000165188,20.154894,1.0,0.03460568
PANX3,ENSG00000154143,20.130526,1.0,0.03460568
,ENSG00000261202,20.121286,1.0,0.03460568
LINC01634,ENSG00000235295,20.114954,1.0,0.03460568
,ENSG00000265217,20.110622,1.0,0.03460568
,ENSG00000286621,20.09478,1.0,0.03460568
,ENSG00000254705,20.091675,1.0,0.029662011
COL18A1-AS1,ENSG00000183535,20.08433,1.0,0.029662011
LOC107986782,ENSG00000286487,20.081602,1.0,0.029662011
LOC112577592,ENSG00000286126,20.064663,1.0,0.03460568
,ENSG00000267255,20.046713,1.0,0.029662011
NXF2,ENSG00000269405,20.046455,1.0,0.029662011
,ENSG00000286692,20.04631,1.0,0.029662011
,ENSG00000273958,20.015917,1.0,0.029662011
,ENSG00000229379,20.002947,1.0,0.029662011
,ENSG00000266312,20.002296,1.0,0.029662011
CYP2A13,ENSG00000197838,19.994724,1.0,0.029662011
,ENSG00000263171,19.990929,1.0,0.029662011
TFAP2D,ENSG00000008197,19.95907,1.0,0.029662011
IL1R1-AS1,ENSG00000226925,19.955294,1.0,0.029662011
AVP,ENSG00000101200,19.94791,1.0,0.029662011
,ENSG00000237390,19.944727,1.0,0.029662011
FXYD4,ENSG00000150201,19.944403,1.0,0.029662011
,ENSG00000224943,19.866554,1.0,0.024718342
,ENSG00000278532,19.864483,1.0,0.024718342
GJA4,ENSG00000187513,19.838049,1.0,0.029662011
LOC124903925,ENSG00000283025,19.832539,1.0,0.024718342
LOC105376419,ENSG00000286514,19.828308,1.0,0.029662011
VHRT,ENSG00000185847,19.825657,1.0,0.024718342
,ENSG00000286942,19.819637,1.0,0.024718342
NHEG1,ENSG00000225391,19.819017,1.0,0.024718342
,ENSG00000282996,19.808697,1.0,0.024718342
GPR101,ENSG00000165370,19.784319,1.0,0.024718342
OR8B8,ENSG00000197125,19.777527,1.0,0.024718342
OR52N2,ENSG00000180988,19.762245,1.0,0.024718342
IGLC1,ENSG00000211675,19.753736,1.0,0.024718342
,ENSG00000223628,19.74827,1.0,0.024718342
LY6G6F,ENSG00000204424,19.748234,1.0,0.024718342
CCL23,ENSG00000274736,19.7479,1.0,0.024718342
ZNF479,ENSG00000185177,19.741846,1.0,0.024718342
PBX1-AS1,ENSG00000233693,19.730932,1.0,0.024718342
,ENSG00000258490,19.726131,1.0,0.024718342
LOC284191,ENSG00000230709,19.718662,1.0,0.024718342
,ENSG00000227148,19.709187,1.0,0.024718342
LINC02418,ENSG00000214039,19.706343,1.0,0.024718342
DEFB135,ENSG00000205883,19.694174,1.0,0.024718342
,ENSG00000260021,19.686222,1.0,0.024718342
KLK4,ENSG00000167749,19.666573,1.0,0.024718342
,ENSG00000267722,19.654587,1.0,0.024718342
APOB,ENSG00000084674,19.650091,1.0,0.024718342
,ENSG00000287301,19.640156,1.0,0.024718342
,ENSG00000256879,19.632471,1.0,0.024718342
,ENSG00000271742,19.569506,1.0,0.019774674
PCAT4,ENSG00000251321,19.55416,1.0,0.019774674
FOXS1,ENSG00000179772,19.551615,1.0,0.019774674
,ENSG00000265927,19.537334,1.0,0.019774674
,ENSG00000228968,19.533587,1.0,0.024718342
,ENSG00000267760,19.528957,1.0,0.019774674
,ENSG00000231440,19.515905,1.0,0.019774674
,ENSG00000226771,19.510595,1.0,0.019774674
,ENSG00000224691,19.505709,1.0,0.019774674
,ENSG00000230944,19.503332,1.0,0.019774674
LUM,ENSG00000139329,19.47978,1.0,0.019774674
LINC01883,ENSG00000235009,19.479057,1.0,0.019774674
,ENSG00000250105,19.473728,1.0,0.019774674
LUZP4,ENSG00000102021,19.45393,1.0,0.019774674
KRTAP6-1,ENSG00000184724,19.446993,1.0,0.019774674
,ENSG00000286740,19.440971,1.0,0.019774674
LINC02685,ENSG00000254654,19.440742,1.0,0.019774674
,ENSG00000229309,19.440233,1.0,0.019774674
LINC02059,ENSG00000250544,19.43274,1.0,0.019774674
,ENSG00000288077,19.42428,1.0,0.019774674
,ENSG00000249406,19.422558,1.0,0.019774674
,ENSG00000230229,19.416307,1.0,0.019774674
,ENSG00000286728,19.41258,1.0,0.019774674
FOCAD-AS1,ENSG00000227071,19.40082,1.0,0.019774674
,ENSG00000258478,19.398607,1.0,0.019774674
,ENSG00000227386,19.384617,1.0,0.019774674
ELN-AS1,ENSG00000232415,19.383484,1.0,0.019774674
LOC124904559,ENSG00000285177,19.376797,1.0,0.019774674
TRAV5,ENSG00000211779,19.372913,1.0,0.019774674
LOC124902392,ENSG00000285254,19.372412,1.0,0.019774674
CCL18,ENSG00000275385,19.370663,1.0,0.019774674
,ENSG00000259037,19.354876,1.0,0.019774674
,ENSG00000277482,19.35438,1.0,0.019774674
,ENSG00000287105,19.33892,1.0,0.019774674
,ENSG00000287457,19.338177,1.0,0.019774674
LINC00645,ENSG00000258548,19.322947,1.0,0.019774674
,ENSG00000223716,19.319397,1.0,0.019774674
LINC02380,ENSG00000248505,19.298244,1.0,0.019774674
,ENSG00000232947,19.29082,1.0,0.019774674
,ENSG00000286309,19.28328,1.0,0.019774674
,ENSG00000286902,19.2524,1.0,0.019774674
,ENSG00000273006,19.20638,1.0,0.014831006
LIF,ENSG00000128342,19.199358,1.0,0.014831006
OVOL1,ENSG00000172818,19.195383,1.0,0.014831006
,ENSG00000287107,19.185343,1.0,0.014831006
IGLV1-40,ENSG00000211653,19.180357,1.0,0.014831006
MAFA,ENSG00000182759,19.169672,1.0,0.014831006
LINC02961,ENSG00000279261,19.169535,1.0,0.014831006
,ENSG00000229625,19.163904,1.0,0.014831006
,ENSG00000286529,19.163103,1.0,0.014831006
TECTB,ENSG00000119913,19.147738,1.0,0.014831006
,ENSG00000250186,19.139128,1.0,0.014831006
,ENSG00000253616,19.134813,1.0,0.014831006
,ENSG00000263301,19.129211,1.0,0.014831006
SLC6A17-AS1,ENSG00000227091,19.128662,1.0,0.014831006
SHANK2-AS3,ENSG00000171671,19.121933,1.0,0.014831006
ZNF593OS,ENSG00000236782,19.121248,1.0,0.014831006
,ENSG00000250765,19.10942,1.0,0.019774674
,ENSG00000226594,19.107224,1.0,0.014831006
,ENSG00000285568,19.105574,1.0,0.014831006
MYO1D-DT,ENSG00000236377,19.09504,1.0,0.014831006
WFDC10A,ENSG00000180305,19.093517,1.0,0.014831006
TUB-AS1,ENSG00000248332,19.091679,1.0,0.014831006
LINC00583,ENSG00000205636,19.0878,1.0,0.014831006
SLIT2-IT1,ENSG00000248228,19.08703,1.0,0.014831006
,ENSG00000227479,19.086243,1.0,0.014831006
,ENSG00000283157,19.08596,1.0,0.014831006
,ENSG00000234712,19.083754,1.0,0.014831006
,ENSG00000288108,19.083702,1.0,0.014831006
HRAT17,ENSG00000234520,19.083578,1.0,0.014831006
IL24,ENSG00000162892,19.0796,1.0,0.014831006
LINC02358,ENSG00000251256,19.074669,1.0,0.014831006
SCGB3A2,ENSG00000164265,19.073318,1.0,0.014831006
PPP1R2B,ENSG00000231989,19.065435,1.0,0.014831006
,ENSG00000278239,19.063372,1.0,0.014831006
,ENSG00000257737,19.058475,1.0,0.014831006
FCRL4,ENSG00000163518,19.054255,1.0,0.014831006
LOC124903387,ENSG00000258460,19.052881,1.0,0.014831006
OR1J1,ENSG00000136834,19.051893,1.0,0.014831006
LINC01623,ENSG00000225595,19.048851,1.0,0.014831006
LOC105375747,ENSG00000253470,19.038847,1.0,0.014831006
MAGEA11,ENSG00000185247,19.037643,1.0,0.014831006
,ENSG00000287244,19.036863,1.0,0.014831006
,ENSG00000228160,19.027891,1.0,0.014831006
FOXI3,ENSG00000214336,19.026638,1.0,0.014831006
,ENSG00000243969,19.02159,1.0,0.014831006
,ENSG00000253172,19.016405,1.0,0.014831006
TRAV12-3,ENSG00000211794,19.010225,1.0,0.014831006
C10orf71,ENSG00000177354,19.005991,1.0,0.014831006
,ENSG00000223634,19.001772,1.0,0.014831006
,ENSG00000224413,19.001623,1.0,0.014831006
,ENSG00000229495,18.993708,1.0,0.014831006
ECEL1,ENSG00000171551,18.991552,1.0,0.014831006
,ENSG00000287692,18.989737,1.0,0.014831006
,ENSG00000243384,18.98676,1.0,0.014831006
,ENSG00000274630,18.98134,1.0,0.014831006
FEZF1-AS1,ENSG00000230316,18.978546,1.0,0.014831006
,ENSG00000275630,18.96704,1.0,0.014831006
ADGB-DT,ENSG00000237468,18.962114,1.0,0.014831006
,ENSG00000286567,18.95784,1.0,0.014831006
SERPINB12,ENSG00000166634,18.953022,1.0,0.014831006
AVPR1B,ENSG00000198049,18.946337,1.0,0.014831006
,ENSG00000259711,18.936068,1.0,0.014831006
,ENSG00000259003,18.932539,1.0,0.014831006
,ENSG00000277245,18.92741,1.0,0.014831006
,ENSG00000263424,18.911552,1.0,0.014831006
DAZ3,ENSG00000187191,18.876616,1.0,0.014831006
GSTA3,ENSG00000174156,18.864307,1.0,0.014831006
,ENSG00000234182,18.862984,1.0,0.014831006
,ENSG00000253343,18.851835,1.0,0.014831006
C1QTNF8,ENSG00000184471,18.824747,1.0,0.014831006
,ENSG00000259813,18.807434,1.0,0.014831006
OR8G5,ENSG00000255298,18.689135,1.0,0.009887337
,ENSG00000258481,18.686977,1.0,0.014831006
LOC128071543,ENSG00000243062,18.681416,1.0,0.009887337
,ENSG00000228488,18.666271,1.0,0.009887337
,ENSG00000260624,18.652159,1.0,0.009887337
LINC02052,ENSG00000224406,18.630865,1.0,0.009887337
TRAV4,ENSG00000211778,18.621439,1.0,0.009887337
,ENSG00000261538,18.621395,1.0,0.009887337
,ENSG00000261055,18.612495,1.0,0.009887337
,ENSG00000249293,18.612019,1.0,0.009887337
,ENSG00000287696,18.606096,1.0,0.009887337
,ENSG00000287247,18.601698,1.0,0.009887337
CTRB2,ENSG00000168928,18.592892,1.0,0.009887337
,ENSG00000271803,18.592163,1.0,0.009887337
