gene,logfoldchange,pval_adj,score
ENSG00000250195,0.647274,1.0,1.0991416
ENSG00000196684,0.6452402,1.0,0.12796418
ENSG00000106538,0.6301264,1.0,0.016448254
ENSG00000153064,0.6295262,1.0,0.51983094
ENSG00000251363,0.6141982,1.0,0.10995876
ENSG00000169583,0.6115143,1.0,0.040186334
ENSG00000258100,0.60862154,1.0,0.036187693
ENSG00000254226,0.60203546,1.0,0.36928982
ENSG00000276476,0.59917396,1.0,0.10323413
ENSG00000205810,0.59131014,1.0,0.06702336
ENSG00000211751,0.59024346,1.0,0.04769532
ENSG00000245832,0.5881957,1.0,0.60705125
ENSG00000224192,0.58384746,1.0,0.048160546
ENSG00000184371,0.57878065,1.0,0.07861173
ENSG00000162772,0.5682898,1.0,0.3094371
ENSG00000198851,0.5666073,1.0,0.0698301
ENSG00000172116,0.564409,1.0,0.04238174
ENSG00000224467,0.5466506,1.0,0.43495595
ENSG00000116752,0.5459971,1.0,0.92239404
ENSG00000136492,0.53745186,1.0,0.39713418
ENSG00000283117,0.52823895,1.0,0.13202818
ENSG00000231969,0.5275379,1.0,0.91830695
ENSG00000274588,0.52607393,1.0,0.020362306
ENSG00000275302,0.52437955,1.0,0.26028073
ENSG00000115085,0.521371,1.0,0.10284195
ENSG00000223653,0.51907015,1.0,0.6774235
ENSG00000237036,0.5065869,1.0,0.7158796
ENSG00000172322,0.50385505,1.0,0.15183298
ENSG00000116741,0.5038436,1.0,0.7122539
ENSG00000229153,0.50141615,1.0,0.77807003
ENSG00000277632,0.49368355,1.0,0.26862788
ENSG00000286481,0.49305782,1.0,0.59511304
ENSG00000050030,0.4891498,1.0,1.2713369
ENSG00000162739,0.47540385,1.0,0.19477992
ENSG00000156510,0.47168326,1.0,0.017709363
ENSG00000139734,0.46688646,1.0,0.1675584
ENSG00000153563,0.46560526,1.0,0.14177486
ENSG00000249001,0.46183088,1.0,0.13448119
ENSG00000184719,0.4579715,1.0,1.5193295
ENSG00000215483,0.45684853,1.0,0.4352635
ENSG00000239642,0.4552834,1.0,0.48238212
ENSG00000259035,0.4537718,1.0,0.18896651
ENSG00000254349,0.4473281,1.0,0.8537251
ENSG00000256717,0.44527322,1.0,0.30541152
ENSG00000172543,0.44081643,1.0,0.04468865
ENSG00000004948,0.43631446,1.0,0.43371406
ENSG00000188389,0.4346213,1.0,0.016394425
ENSG00000188312,0.424849,1.0,1.8473487
ENSG00000148773,0.42321745,1.0,0.08037267
ENSG00000285835,0.41080236,1.0,0.08294487
ENSG00000231918,0.40459538,1.0,0.41631997
ENSG00000165029,0.3944647,1.0,1.9091777
ENSG00000255733,0.3939243,1.0,0.14455853
ENSG00000248242,0.3921186,1.0,0.08427903
ENSG00000241490,0.38940305,1.0,0.016402114
ENSG00000227033,0.38917518,1.0,0.38247764
ENSG00000114374,0.3830745,1.0,1.3688307
ENSG00000231535,0.38067144,1.0,1.2386634
ENSG00000081985,0.3730881,1.0,0.29697594
ENSG00000140379,0.3713944,1.0,0.6466801
ENSG00000178538,0.3713041,1.0,0.9076452
ENSG00000152217,0.36984128,1.0,2.162653
ENSG00000145592,0.36854455,1.0,1.8620207
ENSG00000241743,0.36673027,1.0,1.0294499
ENSG00000165304,0.3639257,1.0,0.13091703
ENSG00000124635,0.36019254,1.0,0.33526677
ENSG00000287291,0.35581526,1.0,0.3189723
ENSG00000237978,0.34961888,1.0,1.4539018
ENSG00000286423,0.3492084,1.0,0.33413252
ENSG00000285367,0.34263983,1.0,1.6454482
ENSG00000181847,0.33842966,1.0,0.053404916
ENSG00000144713,0.33560404,1.0,1.5314254
ENSG00000245534,0.33358353,1.0,0.4916482
ENSG00000223725,0.33212897,1.0,0.3717505
ENSG00000287352,0.33009532,1.0,0.0031373948
ENSG00000102760,0.32267022,1.0,0.18719788
ENSG00000257599,0.31424436,1.0,0.36791337
ENSG00000287621,0.31307572,1.0,0.30635735
ENSG00000129682,0.3098665,1.0,0.55931747
ENSG00000006747,0.306632,1.0,1.5042654
ENSG00000180644,0.30663037,1.0,0.05894534
ENSG00000142676,0.3021684,1.0,1.6044621
