"pseudotime_L1","pseudotime_L2","disease_group","cluster","Braak","ADNC"
0,NA,"Control","0","Braak IV","Not AD"
4.81032895466258,4.58145266569142,"AD_Low_Int","2","Braak VI","Intermediate"
7.42181315715408,7.374740941401,"AD_High","2","Braak VI","High"
3.1597407266541,2.96480139416349,"AD_Low_Int","4","Braak IV","Intermediate"
8.0934638016594,7.81767011979082,"AD_Low_Int","2","Braak III","Low"
11.7058320573057,2.94086404078281,"Control","4","Braak IV","Not AD"
7.30272404373579,7.1462533161152,"AD_High","2","Braak V","High"
11.7058320573057,12.761419426758,"AD_High","2","Braak V","High"
11.802174562912,13.3623312656591,"AD_Low_Int","4","Braak III","Low"
11.3176042542428,4.43949748966104,"AD_High","2","Braak V","High"
9.03454843803764,9.4715038440179,"Control","2","Braak 0","Not AD"
9.75920480912854,9.93261234674116,"AD_Low_Int","2","Braak IV","Low"
6.61412810986596,6.50495704305149,"Control","2","Braak IV","Not AD"
6.22122192988194,6.02004409112713,"AD_Low_Int","2","Braak IV","Intermediate"
14.0024980434868,12.2335594314063,"AD_High","2","Braak V","High"
7.87027220563104,7.74719457864699,"AD_Low_Int","2","Braak IV","Intermediate"
14.7726927351941,11.4091249091451,"AD_High","2","Braak V","High"
6.70808052973572,6.59723741594334,"Reference","2","Reference","Reference"
8.79049078976394,9.04898850929611,"Reference","2","Reference","Reference"
6.34255084725492,6.01644103221532,"AD_High","2","Braak VI","High"
5.95419928720504,5.51083439910321,"AD_High","2","Braak VI","High"
12.9714305098692,12.9228251608729,"Control","2","Braak 0","Not AD"
11.7058320573057,12.98060155538,"AD_Low_Int","2","Braak IV","Intermediate"
11.5131699793979,12.0294274774427,"AD_High","2","Braak V","High"
13.5575458838282,11.0198747244924,"AD_High","2","Braak VI","High"
15.3093789417413,10.4902115895853,"Control","2","Braak 0","Not AD"
14.1680040988494,10.8403565365371,"AD_High","2","Braak VI","High"
11.6097118810934,3.02088781623294,"AD_High","4","Braak V","High"
6.66494947051541,6.45404659153089,"AD_Low_Int","2","Braak IV","Low"
6.29407846494263,6.11341291545353,"AD_High","2","Braak V","High"
6.72958608787546,6.41155888202333,"AD_Low_Int","2","Braak II","Low"
7.90861071602034,7.89625147022731,"AD_High","2","Braak V","High"
9.54816740630863,10.2878577475517,"AD_Low_Int","2","Braak III","Low"
7.70557507424623,7.6968574455111,"AD_Low_Int","2","Braak III","Intermediate"
9.69579297342321,10.1725845976989,"AD_Low_Int","2","Braak VI","Intermediate"
7.94135094673228,7.89625147022731,"Reference","2","Reference","Reference"
6.78782740736837,6.6614358230582,"AD_Low_Int","2","Braak IV","Low"
11.2359788082985,11.5952373969404,"AD_High","2","Braak VI","High"
4.55669659522819,4.32902707052455,"AD_High","2","Braak V","High"
4.04805030701852,NA,"AD_High","0","Braak V","High"
9.4723414670356,9.91677072784501,"Control","2","Braak IV","Not AD"
5.69463978256635,5.44843458580418,"AD_Low_Int","2","Braak V","Intermediate"
8.44200557294784,8.52970916067974,"Reference","2","Reference","Reference"
10.3221047214018,10.7693144537586,"AD_Low_Int","2","Braak III","Low"
7.01305547911388,6.87290314453056,"Reference","2","Reference","Reference"
9.14881527565919,9.41662629619571,"AD_High","2","Braak V","High"
6.94666108546415,6.67926976870984,"AD_High","2","Braak V","High"
14.4362780005686,12.0946527069756,"AD_Low_Int","2","Braak III","Low"
11.3176042542428,4.73349806294862,"AD_High","2","Braak V","High"
7.64652463883255,7.54998486396533,"AD_High","2","Braak VI","High"
9.20629197186368,9.61568620423207,"AD_High","2","Braak V","High"
4.61626022808876,4.38850271902915,"AD_High","2","Braak VI","High"
11.7058320573057,2.39986609309276,"AD_Low_Int","4","Braak III","Low"
6.83224743529336,6.44224562645703,"Control","2","Braak IV","Not AD"
8.73721461599314,8.45484582208184,"AD_Low_Int","2","Braak V","Intermediate"
9.49632938470445,10.0081724712955,"AD_Low_Int","2","Braak IV","Intermediate"
7.1161614158656,7.03449076860975,"Control","2","Braak IV","Not AD"
5.5102128517982,5.27695902873258,"AD_Low_Int","2","Braak IV","Intermediate"
6.81530498417269,6.84135274728226,"AD_High","2","Braak V","High"
