scVI_clusters,DAM_score,DAM_activation,Homeostatic_score
0,-1.1782787967379476,1.02356187711018,2.2018406738481273
1,-1.1244468453873113,1.0336773136334638,2.158124159020775
2,-1.265921137081311,1.0014448088838415,2.2673659459651527
3,-1.1821472543370886,1.0535575484821242,2.2357048028192126
4,-0.9859042273340718,1.003041236127925,1.9889454634619967
