"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000055208",3.74949245970086e-138,-0.575779200190908,0.655,0.807,1.33043240947566e-133
"ENSG00000071054",3.99140840118832e-138,-0.542134482500128,0.688,0.835,1.41627144299365e-133
"ENSG00000156299",5.08364301814167e-138,-0.925538243507544,0.415,0.656,1.80382905212721e-133
"ENSG00000121933",1.33756589962905e-137,-1.78929977842468,0.162,0.416,4.74608508165377e-133
"ENSG00000274441",5.31868301386146e-136,-1.68822197330243,0.195,0.445,1.88722829380846e-131
"ENSG00000198712",8.839132145307e-136,0.762390495386701,0.756,0.578,3.13638925911928e-131
"ENSG00000168234",1.20258155594138e-135,1.55580836958152,0.348,0.157,4.2671201349468e-131
"ENSG00000183018",2.75240749654228e-135,-2.19398516690442,0.101,0.351,9.76636751998097e-131
"ENSG00000071242",1.41001401788564e-134,-0.736866605684284,0.554,0.74,5.0031527396636e-130
"ENSG00000165025",1.53064798293213e-134,-0.598407052783915,0.607,0.815,5.43119823783809e-130
"ENSG00000132122",2.34405037644628e-134,-0.943580551192359,0.396,0.635,8.31739395074435e-130
"ENSG00000151883",1.05781919938003e-133,0.81331442387531,0.787,0.633,3.75345986516016e-129
"ENSG00000114013",1.56776156497218e-133,-1.06209306667809,0.346,0.587,5.5628883609908e-129
"ENSG00000171659",1.88969764245639e-133,-1.54905287420026,0.22,0.464,6.70521414472801e-129
"ENSG00000196126",2.89103046460906e-132,-1.26498527083342,0.28,0.526,1.02582433975723e-127
"ENSG00000164300",3.6158350288692e-131,1.19401807487721,0.442,0.229,1.28300674329366e-126
"ENSG00000134769",1.22006445814821e-130,-0.731742379450105,0.53,0.732,4.32915471684731e-126
"ENSG00000169826",1.66250328423893e-130,1.24635324256452,0.405,0.199,5.89906040346498e-126
"ENSG00000069974",2.19667640782071e-130,1.11946008792082,0.463,0.244,7.79446689787024e-126
"ENSG00000159189",8.03787732156233e-130,-1.12637275855894,0.322,0.569,2.85208001000996e-125
"ENSG00000172667",8.99326078130591e-130,-1.34417831728954,0.268,0.502,3.19107872303078e-125
"ENSG00000197965",1.37457417178908e-129,-1.20919544790406,0.293,0.529,4.87740153375919e-125
"ENSG00000092964",1.58829114945021e-129,-0.862230250149172,0.448,0.663,5.63573348559416e-125
"ENSG00000082269",1.22506769647794e-128,-0.804244161931756,0.476,0.684,4.34690770741268e-124
